stop_id,stop_name,stop_lat,stop_lon,location_type,parent_station
51494,Jarry / 19e Avenue,45.569266,-73.604544,0,
51495,Sherbrooke / de Vendôme,45.475994,-73.607035,0,
51496,Sherbrooke / de Vendôme,45.47573,-73.607041,0,
51497,De Lorimier / Jean-Talon,45.550247,-73.604783,0,
51498,Jean-Talon / De Lorimier,45.550413,-73.604981,0,
51499,De Lorimier / Jean-Talon,45.550286,-73.605204,0,
51500,Jean-Talon / De Lorimier,45.55013,-73.604978,0,
51501,du Parc / Bernard,45.523647,-73.605277,0,
51502,Bernard / du Parc,45.523888,-73.605434,0,
51503,du Parc / Bernard,45.523673,-73.60573,0,
51504,Bernard / du Parc,45.523524,-73.605557,0,
51505,Saint-Laurent / de Bellechasse,45.529042,-73.605738,0,
51506,Christophe-Colomb / Saint-Zotique,45.53937,-73.604807,0,
51507,Christophe-Colomb / Saint-Zotique,45.539345,-73.605186,0,
51508,Station Beaubien (Saint-Denis / Beaubien),45.534008,-73.604813,0,
51509,Beaubien / Saint-Denis,45.534149,-73.60499,0,
51511,Beaubien / Saint-Denis,45.533853,-73.605056,0,
51514,Bélanger / Fabre,45.545308,-73.604617,0,
51515,Bélanger / Fabre,45.545047,-73.604651,0,
51516,Upper-Lachine / Girouard,45.470597,-73.607524,0,
51517,Saint-Michel / Villeray,45.561245,-73.603541,0,
51518,Villeray / Saint-Michel,45.561402,-73.603691,0,
51519,Saint-Michel / Villeray,45.561266,-73.604116,0,
51520,Villeray / Saint-Michel,45.561075,-73.603847,0,
51521,Maurice-Duplessis / 5e Avenue,45.623875,-73.602124,0,
51522,Station Beaubien,45.535077,-73.604135,0,
51523,Décarie / De Maisonneuve,45.473208,-73.606232,0,
51524,Jarry / 22e Avenue,45.571027,-73.603212,0,
51525,Bernard / de l'Esplanade,45.525129,-73.604308,0,
51526,Bernard / de l'Esplanade,45.524767,-73.604441,0,
51527,Jean-Talon / Louis-Hémon,45.551968,-73.603615,0,
51528,Jean-Talon / Louis-Hémon,45.551721,-73.603581,0,
51529,Pie-IX / Jarry,45.57153,-73.602366,0,
51530,Jarry / Pie-IX,45.571702,-73.60256,0,
51531,Pie-IX / Jarry,45.571704,-73.603407,0,
51532,Jarry / Pie-IX,45.571213,-73.602797,0,
